S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Down %
1.,360 ONE,1091.35,43.05,42438.99,1.51,245.49,32.05,862.76,56.87,14.47,10.24
2.,3B Blackbio,1670.00,33.27,1433.31,0.18,14.87,93.27,29.15,51.98,20.95,12.57
3.,Aaron Industries,339.00,49.18,355.05,0.29,1.82,51.67,18.29,30.64,19.83,3.14
4.,Aayush Wellness,139.85,440.59,453.81,0.00,0.92,228.57,14.28,2280.00,12.65,0.00
5.,Ace Soft. Exp.,464.00,51.02,296.96,0.00,1.33,-11.22,5.85,195.45,2.56,9.02
6.,ADF Foods,306.95,43.03,3364.49,0.39,19.67,31.75,161.39,29.51,19.54,5.48
7.,Adit.Birla Money,165.60,12.47,931.05,0.00,26.69,123.91,125.66,30.39,12.61,12.42
8.,Aditya AMC,858.40,27.65,24762.69,1.57,242.34,36.08,424.21,26.63,34.89,1.31
9.,Aditya Vision,499.00,67.60,6443.67,0.18,12.21,26.79,375.85,20.03,21.75,13.21
10.,Aegis Logistics,852.00,51.23,29910.81,0.77,152.02,-0.80,1750.42,41.75,14.74,12.16
11.,Affle India,1584.60,64.85,22234.67,0.00,91.99,37.75,542.88,25.87,16.25,7.60
12.,Ajmera Realty,960.90,27.73,3480.95,0.42,36.29,56.90,199.96,37.58,11.72,3.91
13.,Alacrity Sec.,166.90,30.66,403.23,0.00,9.27,42.00,325.61,160.63,43.47,11.22
14.,Altius Telecom,158.75,47.54,48377.48,,242.80,-29.50,3492.60,24.87,7.27,2.01
15.,Amal,444.60,63.76,549.64,0.00,5.53,223.39,30.06,35.41,6.58,9.04
16.,Amber Enterp.,6527.40,118.71,22057.87,0.00,20.96,440.71,1684.70,81.73,10.18,8.82
17.,Ami Organics,2142.10,93.72,8754.48,0.14,37.56,387.34,246.73,43.15,15.99,1.95
18.,Anand Rathi Wea.,4123.00,65.40,17249.27,0.34,76.31,32.39,242.48,32.81,50.74,5.91
19.,Anik Industries,99.96,,278.09,0.00,0.98,304.17,27.80,86.83,2.80,5.80
20.,ARC Finance,2.55,36.10,231.78,0.00,3.38,1590.00,12.37,2477.08,0.69,12.37
21.,Aries Agro,335.00,15.58,436.06,0.30,18.76,51.66,193.66,22.41,14.79,2.25
22.,Arih.Found.Hsg.,654.30,18.73,562.70,0.15,10.56,810.34,48.29,427.18,10.83,4.08
23.,Artificial Elect,291.90,1238.07,495.23,0.00,0.21,162.50,3.62,905.56,42.11,0.00
24.,Arvind SmartSp.,955.65,63.61,4357.08,0.26,42.60,370.95,265.58,265.46,15.94,4.43
25.,Ashika Credit,701.80,61.08,1592.32,0.00,9.27,125.00,17.07,168.40,17.92,0.00
26.,ASK Automotive,449.95,40.05,8883.77,0.22,67.28,63.14,973.86,22.67,24.24,7.28
27.,Assoc.Alcohols,939.90,31.19,1804.69,0.22,15.32,13.90,254.63,49.51,14.47,9.42
28.,Avalon Tech,866.85,199.52,5746.10,0.00,17.48,140.11,275.02,36.83,6.22,3.44
29.,Avonmore Capital,15.93,38.54,369.97,0.00,18.87,-38.98,54.29,120.15,6.36,11.94
30.,AYM Syntex,244.95,65.58,1242.05,0.00,3.94,1131.25,403.52,21.05,6.63,7.53
31.,Bajaj Finance,6705.00,26.99,414944.02,0.54,4013.74,12.64,17090.27,27.71,11.92,14.37
32.,Bajaj Holdings,10651.15,15.99,118433.03,1.23,1510.43,-3.67,279.07,24.18,13.07,6.16
33.,Banco Products,1127.55,23.41,8050.53,1.77,138.70,109.80,894.93,23.51,26.96,5.22
34.,Bella Casa Fashi,535.05,52.98,716.30,0.33,4.61,77.99,106.81,66.42,14.25,11.40
