Stock Name,Date,High,50_day_EMA_High,100_day_EMA_High,150_day_EMA_High,200_day_EMA_High,250_day_EMA_High,Max High,Max High Date,Tending Status
KRN,2024-12-03 00:00:00+05:30,852.7999878,620.6266996,570.385435,551.8969553,542.4170888,536.6732742,852.7999878,2024-12-03 00:00:00+05:30,Yes
531910,2024-12-02 00:00:00+05:30,182.6999969,148.174851,140.31925,131.4457717,122.646277,114.4687449,182.6999969,2024-12-02 00:00:00+05:30,Yes
MANORAMA,2024-12-03 00:00:00+05:30,1211.449951,1022.087132,910.944,830.0373194,766.7219175,715.3970188,1250,2024-11-29 00:00:00+05:30,Yes
523373,2024-12-02 00:00:00+05:30,201.6999969,182.6321908,153.37651,131.8079047,115.8103587,103.6092936,221.1999969,2024-11-14 00:00:00+05:30,Yes
MOTILALOFS,2024-12-03 00:00:00+05:30,969,898.8986427,824.2120767,781.974949,760.5901618,749.6843393,1549.331262,2018-01-08 00:00:00+05:30,Yes
MPSLTD,2024-12-03 00:00:00+05:30,2160.949951,2144.302727,2109.927363,2043.610135,1971.471252,1899.899416,2469,2024-08-28 00:00:00+05:30,Yes
MUTHOOTFIN,2024-12-03 00:00:00+05:30,1946.150024,1935.548873,1902.180653,1844.735869,1785.274434,1730.513955,2078.75,2024-09-13 00:00:00+05:30,Yes
NATCOPHARM,2024-12-03 00:00:00+05:30,1454,1417.473559,1382.065614,1321.924356,1262.445061,1209.562522,1637.185982,2024-09-12 00:00:00+05:30,Yes
NATIONALUM,2024-12-03 00:00:00+05:30,248.2400055,227.3279009,210.9525201,198.6357433,187.8921897,178.4377716,258.7655883,2024-11-25 00:00:00+05:30,Yes
NETWEB,2024-12-03 00:00:00+05:30,2970.899902,2770.495701,2635.196957,2480.271211,2331.221315,2199.30102,3060,2024-11-27 00:00:00+05:30,Yes
NINSYS,2024-12-03 00:00:00+05:30,610,583.3906154,565.011601,547.6775844,530.0859635,512.0418301,690.9000244,2024-09-17 00:00:00+05:30,Yes
NUVAMA,2024-12-03 00:00:00+05:30,6769.799805,6744.913609,6398.621326,6017.748705,5676.151071,5384.324799,7489.75,2024-11-07 00:00:00+05:30,Yes
ORIENTTECH,2024-12-03 00:00:00+05:30,424.3999939,366.8750451,339.7738576,328.4624684,322.2843091,318.3919917,473.1479412,2024-11-19 00:00:00+05:30,Yes
PNGJL,2024-12-03 00:00:00+05:30,743.5999756,741.0873115,775.4066012,793.6901335,804.7321498,812.0760749,848,2024-09-17 00:00:00+05:30,No
539469,2024-12-02 00:00:00+05:30,240.1999969,231.2463344,218.9207432,205.6977617,192.2101721,179.4639902,258.9500122,2024-09-30 00:00:00+05:30,Yes
PDSL,2024-12-03 00:00:00+05:30,564.9500122,538.9932282,536.5605813,531.6362087,524.5616003,515.9108069,659.9118755,2023-11-15 00:00:00+05:30,Yes
PGEL,2024-12-03 00:00:00+05:30,762.5,650.5877912,576.5009111,514.2268589,465.8262927,427.6169218,762.5,2024-12-03 00:00:00+05:30,Yes
PLATIND,2024-12-03 00:00:00+05:30,447.2999878,426.8452716,390.1625582,360.0699072,338.5286749,322.9383966,484.7999878,2024-10-21 00:00:00+05:30,Yes
POLYCAB,2024-12-03 00:00:00+05:30,7429.149902,6886.998097,6769.032765,6577.002004,6362.631061,6146.394918,7605,2024-10-15 00:00:00+05:30,Yes
PIGL,2024-12-03 00:00:00+05:30,317.2000122,245.7541411,202.4202765,174.1195848,154.5816733,140.3754922,337.5899963,2024-11-26 00:00:00+05:30,Yes
PREMIERENE,2024-12-03 00:00:00+05:30,1251.699951,1113.505437,1081.825306,1062.634042,1050.122686,1041.417019,1278,2024-12-02 00:00:00+05:30,Yes
538119,2024-12-02 00:00:00+05:30,85.87999725,81.57983446,77.68381225,73.68487057,70.02140357,66.88958532,92.94999695,2022-03-28 00:00:00+05:30,Yes
531412,2024-12-02 00:00:00+05:30,170.3500061,162.0719044,158.7734797,155.480339,151.4404509,146.9906299,259.791731,2014-01-30 00:00:00+05:30,Yes
514316,2024-12-02 00:00:00+05:30,194.3999939,135.088084,132.2663287,130.8172452,130.241998,130.3300646,1026.5,2021-12-27 00:00:00+05:30,No
RATNAVEER,2024-12-03 00:00:00+05:30,262.5400085,220.4687983,201.0194465,188.0749797,178.7582542,171.8325779,273.9700012,2024-11-25 00:00:00+05:30,Yes
REFEX,2024-12-03 00:00:00+05:30,572,484.433706,421.5841305,369.7367709,330.6973129,300.4455475,600,2024-09-30 00:00:00+05:30,Yes
SASKEN,2024-12-03 00:00:00+05:30,2237,1897.157369,1773.364055,1703.281056,1643.398946,1588.660046,2285,2024-11-26 00:00:00+05:30,Yes
SERVOTECH,2024-12-03 00:00:00+05:30,183,178.2213759,161.4967605,147.6580447,137.1202357,128.6177629,205.3999939,2024-09-26 00:00:00+05:30,Yes
SHAKTIPUMP,2024-12-03 00:00:00+05:30,808,784.5645421,726.207025,659.9791253,599.9301127,548.7230784,899.9000244,2024-11-27 00:00:00+05:30,Yes
SKYGOLD,2024-12-03 00:00:00+05:30,4003.149902,3393.254609,2935.660991,2589.307216,2320.719911,2106.534008,4245,2024-11-26 00:00:00+05:30,Yes
STERTOOLS,2024-12-03 00:00:00+05:30,741.9500122,589.1176305,539.7076938,505.3162886,480.6299364,461.5309364,744.2999878,2024-12-02 00:00:00+05:30,Yes
526506,2024-12-02 00:00:00+05:30,303.2000122,794.6776725,1009.518823,1031.353752,1001.237653,957.3902942,2021,2024-10-25 00:00:00+05:30,No
TEMBO,2024-12-03 00:00:00+05:30,723.4000244,583.8699633,485.4624296,429.8181637,394.0372537,368.3855972,744.0999756,2024-11-26 00:00:00+05:30,Yes
ANUP,2024-12-03 00:00:00+05:30,3649,3176.35011,2756.046113,2488.345635,2289.839269,2130.141212,3822.449951,2024-11-25 00:00:00+05:30,Yes
TIPSMUSIC,2024-12-03 00:00:00+05:30,873.1500244,838.6430187,759.3882971,696.0908921,645.1990548,602.944004,950,2024-11-06 00:00:00+05:30,Yes
TIRUPATIFL,2024-12-03 00:00:00+05:30,48.86000061,43.43128719,37.34588334,33.26268612,30.30045753,28.05543697,55.45000076,2024-11-14 00:00:00+05:30,Yes
UNIVASTU,2024-12-03 00:00:00+05:30,263,240.1244542,223.9431165,210.5021807,198.8269356,188.7139596,276.7099915,2024-11-28 00:00:00+05:30,Yes
UTIAMC,2024-12-03 00:00:00+05:30,1332.550049,1291.222512,1221.500549,1160.029948,1110.230729,1069.955242,1400,2024-11-04 00:00:00+05:30,Yes
539761,2024-12-02 00:00:00+05:30,213.8500061,134.3040822,105.1834004,87.56326937,75.51136096,66.66105506,225.1000061,2024-11-29 00:00:00+05:30,Yes
VIJAYA,2024-12-03 00:00:00+05:30,1166,1053.58784,974.6920437,916.3596872,868.9739005,829.5466171,1249.949951,2024-11-22 00:00:00+05:30,Yes
WEALTH,2024-12-03 00:00:00+05:30,1594,1478.154324,1339.229413,1211.892228,1106.549423,1020.307262,1706.180297,2024-10-17 00:00:00+05:30,Yes
505872,2024-12-02 00:00:00+05:30,675,550.9860954,505.0181887,476.9113314,454.1658322,433.9795405,705,2024-11-28 00:00:00+05:30,Yes
ZAGGLE,2024-12-03 00:00:00+05:30,517,447.6075118,412.5976412,385.1826335,363.0951158,344.9081213,523.2999878,2024-12-02 00:00:00+05:30,Yes
ZENTEC,2024-12-03 00:00:00+05:30,1913,1827.381632,1700.85674,1571.560453,1457.342042,1358.102803,1997.699951,2024-10-15 00:00:00+05:30,Yes
