S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Down %
108.,New Light Appare,13.32,135.32,104.19,0.00,0.34,780.00,5.42,337.10,5.90,0.00
109.,Nidhi Granites,199.00,66.61,159.20,0.00,1.10,1733.33,12.10,39.40,9.76,0.00
110.,Nippon Life Ind.,679.35,32.61,43027.90,2.43,360.10,47.33,571.30,43.73,36.24,9.29
111.,OBSC Perfection,137.90,27.62,337.20,0.00,7.27,,67.64,21.00,31.13,9.57
112.,Olatech Solution,276.10,23.76,119.52,0.00,3.29,,11.43,73.97,68.21,2.83
113.,One Global Serv,169.95,12.76,120.66,0.59,2.27,228.99,19.41,66.61,84.85,8.14
114.,Optimus Finance,154.70,18.18,115.60,0.00,2.30,78.21,36.05,44.20,16.54,4.51
115.,Orient,439.55,44.19,1831.35,0.41,15.06,62.63,223.14,49.35,33.96,7.46
116.,Par Drugs & Che.,294.05,19.80,361.82,0.00,8.60,75.87,34.66,33.87,25.00,9.52
117.,Patdiam Jeweller,291.75,18.47,125.95,0.00,2.72,,69.12,68.67,15.93,0.00
118.,Pearl Global Ind,1154.45,26.56,5306.35,0.76,55.63,52.01,1201.92,25.12,21.39,3.39
119.,Persistent Sys,5790.90,73.15,90181.87,0.45,325.00,23.45,2897.15,20.13,29.17,1.33
120.,PG Electroplast,683.85,93.28,17886.63,0.03,19.33,56.27,671.30,45.80,18.72,4.89
121.,Pitti Engg.,1340.05,44.70,4748.44,0.11,34.05,54.70,379.38,25.37,20.07,8.06
122.,Pix Transmission,2382.30,28.35,3244.26,0.29,40.53,95.89,159.06,27.89,22.64,1.94
123.,PNGS Gargi FJ,1079.95,53.11,1118.59,0.00,5.09,202.98,22.94,112.41,43.38,4.00
124.,Polo Queen Ind.,75.37,712.83,2530.55,0.00,0.67,272.22,23.25,77.35,1.83,5.06
125.,Power & Instrum.,307.15,41.82,386.82,0.07,3.89,179.86,54.93,125.77,17.14,0.00
126.,Pritika Engineer,196.75,63.41,259.37,0.00,1.64,78.26,31.99,40.62,10.53,0.03
127.,R&B Denims,82.95,32.95,746.32,0.00,4.64,30.34,93.35,40.67,18.64,9.74
128.,Radico Khaitan,2311.30,107.00,30939.34,0.13,82.19,32.82,1116.30,20.68,13.16,8.48
129.,Radix Industries,163.15,107.86,244.85,0.31,0.42,-6.67,13.33,35.61,16.85,9.49
130.,Raghav Product.,1648.00,122.48,3786.90,0.03,8.75,37.80,49.12,51.32,22.71,7.36
131.,Rainbow Child.,1590.85,69.83,16165.62,0.19,79.01,25.37,417.46,25.48,19.08,5.80
132.,Ramdevbaba Sol.,129.00,18.33,285.42,0.00,8.06,,401.72,36.30,16.59,4.44
133.,Ratnabhumi Dev.,166.10,83.66,227.55,0.00,0.52,766.67,80.49,36486.36,8.35,7.72
134.,Ratnaveer Precis,260.65,31.93,1266.15,0.00,12.28,53.88,229.99,61.41,12.87,2.36
135.,Safari Inds.,2493.00,75.98,12169.62,0.11,29.66,-25.40,457.79,23.72,31.02,8.08
136.,Sasken Technol.,2110.20,49.04,3172.18,1.18,12.28,-33.35,135.03,31.72,12.01,5.71
137.,Saumya Cons,257.65,5.78,177.96,0.00,13.45,60.12,22.69,28.92,27.25,7.40
138.,Shaily Engineer.,1090.00,68.43,5007.93,0.09,21.92,102.40,192.00,21.85,14.12,8.25
139.,Shakti Pumps,4722.20,28.80,9471.03,0.01,101.42,1636.64,634.59,315.36,31.40,8.32
140.,Shangar Decor,10.32,66.05,101.05,0.00,0.78,1850.00,3.46,195.73,6.94,1.15
141.,Sharda Cropchem,790.50,32.74,7129.27,0.38,42.42,253.77,776.89,33.77,4.27,5.07
142.,Shera Energy,219.15,38.79,499.41,0.00,9.67,48.69,601.37,56.67,20.07,6.74
143.,Shilchar Tech.,7948.50,56.22,6062.16,0.16,32.73,34.14,130.56,22.86,74.65,4.79
144.,Siddhika Coatins,177.95,16.53,109.96,0.93,4.29,,23.67,47.66,22.59,4.61
145.,Silverline Tech,23.49,,140.92,0.00,0.03,-57.14,0.70,62.79,0.02,0.00
146.,Sky Gold,3961.40,72.08,5801.19,0.00,36.71,404.95,768.85,94.17,18.70,0.00
147.,Slone,265.70,20.65,140.00,0.00,4.72,,152.98,655.46,60.39,0.30
148.,Sobhagya Mercant,188.75,15.23,158.55,0.00,2.11,0.96,29.11,23.50,33.77,0.00
149.,Spectrum Talent,211.40,39.95,488.19,0.00,4.67,,530.61,23.39,10.02,1.67
150.,SSPN FINANCE,8.56,37523.00,375.23,0.00,0.00,-75.00,0.14,55.56,1.98,5.93
151.,Sterling Tools,593.05,32.58,2140.92,0.34,17.47,45.22,283.98,35.12,14.69,7.31
152.,Stratmont Indus.,189.10,354.54,538.89,0.00,0.44,300.00,35.80,211.03,9.30,0.00
153.,Strides Pharma,1509.00,69.70,13881.58,0.17,93.66,7158.04,1201.11,20.18,7.86,9.92
154.,Suyog Gurbaxani,184.00,89.52,457.46,0.00,0.03,,22.81,105.50,16.72,7.07
155.,Systematix Corp.,276.45,50.54,3588.39,0.04,22.14,1130.00,36.67,82.26,48.35,0.00
156.,Tembo Global,701.25,29.00,778.65,0.36,14.04,196.83,163.85,50.31,25.72,4.03
157.,The Anup Enginee,3449.05,57.85,6904.20,0.44,32.31,48.76,187.87,34.34,22.58,6.31
158.,Tirupati Forge,50.97,57.38,528.46,0.00,2.64,72.55,32.28,36.49,18.32,8.08
159.,UTI AMC,1303.50,19.83,16685.89,1.84,263.08,30.83,538.40,33.25,22.60,6.94
160.,Utssav,223.10,43.38,531.38,0.00,9.87,,284.53,82.38,23.88,9.97
161.,V R Infraspace,325.00,127.14,288.60,0.09,1.68,,13.14,80.74,11.01,8.42
162.,Vantage Knowledg,176.45,979.73,2008.44,0.00,0.86,207.14,1.17,67.14,20.51,0.00
163.,Varun Beverages,616.65,78.81,200300.69,0.16,628.82,23.66,4804.68,24.14,28.82,9.69
164.,Vedant Fashions,1381.50,83.26,33542.45,0.61,66.90,37.32,267.95,22.74,30.74,7.15
165.,Vijaya Diagnost.,1204.30,92.20,12363.44,0.08,42.13,25.87,182.95,31.75,19.51,3.66
166.,Vimta Labs,755.50,32.95,1676.68,0.26,14.59,112.47,83.14,29.12,16.82,6.13
167.,VTM,87.23,15.17,350.90,0.86,9.77,93.85,73.17,54.89,7.33,6.99
168.,Wallfort Fin.,149.75,3.71,145.11,0.00,14.30,30.83,21.22,33.88,27.01,9.08
169.,WPIL,596.90,29.58,5829.97,0.67,70.22,83.45,490.89,54.01,20.42,7.89
170.,Zaggle Prepaid,479.05,84.66,5897.67,0.00,18.56,144.53,302.56,64.22,17.25,2.88
